"UF","Cidade","Bairro","Link_Cidade","Link_Bairro"
"MG","Belo Horizonte","Ipê","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/ipe-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Ipiranga","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/ipiranga-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Itapoã","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/itapoa-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Itatiaia","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/itatiaia-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jaqueline","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jaqueline-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jaraguá","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jaragua-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jardim Alvorada","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jardim-alvorada-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jardim América","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jardim-america-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jardim Atlântico","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jardim-atlantico-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jardim dos Comerciários","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jardim-dos-comerciarios-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jardim Guanabara","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jardim-guanabara-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jardim Leblon","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jardim-leblon-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jardim Montanhês","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jardim-montanhes-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jardim São José","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jardim-sao-jose-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jardim Vitória","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jardim-vitoria-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Jardinópolis","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/jardinopolis-belo-horizonte-mg-brasil"
